ID,PPDE,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
ENSG00000272602_ZNF595,0.999794066,4.772409668,21.33046523,14.82296531,7.409307146,7.836605817,0,0,4.726148101,1.680926868,0,12.84946622,0,0,0,0.388227492,0
ENSG00000140153_WDR20,0.999793211,5.166978972,12.8374672,31.73464742,6.323732984,0.518980518,0,0.441123748,4.118647583,2.80154478,0,2.91371116,0,4.794409123,7.336770491,13.58796224,0
ENSG00000273270_RP11-212P7.2,0.999792791,0,1.479687009,0,0,4.608546997,6.588099979,2.117393991,2.224069695,0,2.478289348,0.571087387,0,0,0,0.427050242,0
ENSG00000074054_CLASP1,0.999789826,6.106429694,14.18877954,12.69385897,6.323732984,3.113883106,0,0,5.148309479,53.22935082,0,6.992906785,13.16005907,7.409541372,36.68385246,19.41137462,25.28869764
ENSG00000176105_YES1,0.999787803,10.46548104,20.97912403,20.60444108,6.028625445,0.711003309,0,5.271428789,0,1.215870434,0,8.193355783,0,1.18552662,0,0.493048915,0
ENSG00000039319_ZFYVE16,0.999784339,0,0,0.634692948,3.204024712,11.25149762,1.486661736,22.93402366,2.028433935,4.605739618,4.956578695,0,0,1.743421499,1.834192623,1.747023716,0
ENSG00000131370_SH3BP5,0.999783972,7.238467814,0,11.70719993,17.73807102,6.74674673,4.527903766,0,1.029661896,0.38661318,0,0,0,0,3.668385246,0,12.64434882
ENSG00000266947_RP11-799D4.4,0.99978381,8.92478186,5.283631237,6.346929484,5.269777487,3.113883106,12.07441004,3.537812459,6.177971374,18.49019555,0,32.633565,26.32011814,1.743421499,9.170963114,0.78033726,0
ENSG00000151445_VIPAS39,0.999776157,5.166978972,0.675656168,0,5.269777487,1.556941553,0.754650628,2.646742488,5.148309479,0,26.72664983,0,0,18.30592574,11.00515574,21.74073958,6.322174409
ENSG00000227507_LTB,0.999774619,87.83864252,112.8345801,106.743814,205.521322,77.84707765,89.80342468,85.57800712,141.0636797,49.86749708,34.01573614,58.27422321,85.54038395,47.07238048,42.18643033,34.94047432,12.64434882
ENSG00000097046_CDC7,0.999772083,6.576155055,5.405249347,6.346929484,0,0,0,0,3.088985687,1.680926868,0,0,0,0,1.834192623,0,0
ENSG00000135709_KIAA0513,0.999761085,1.878901444,0.810787402,0.588533461,8.442183533,10.41074918,4.829764017,0,2.234366314,20.79306536,165.2435868,14.03243295,6.580029535,6.537830623,47.68900819,3.10581994,37.93304645
ENSG00000186265_BTLA,0.999756379,8.455056499,24.32362206,11.53987179,7.377688481,53.97397384,24.14882008,20.29169241,11.32628085,52.10873291,12.14847719,48.36760526,85.54038395,40.97040524,33.01546721,52.41071148,31.61087205
ENSG00000143322_ABL2,0.999754161,9.084488483,8.209222445,5.366040382,0.06323733,0,10.94998061,22.85462139,3.05809583,0,0,0.582742232,0,2.676152002,0,0,0
ENSG00000092096_SLC22A17,0.999752659,0,1.351312337,0,0,2.075922071,0,0,1.029661896,17.36957764,0,0,0,0,0,0.776454985,0
ENSG00000126106_TMEM53,0.999751433,5.166978972,5.776860239,0,2.107910995,0,0,0.441123748,1.029661896,1.708942316,2.429695439,0,0,4.794409123,5.502577869,6.599867372,6.322174409
